CFI_number,ICD10_code,description
39,M61319," unsp shldr"""
39,M6132, upper arm
39,M61321," r up arm"""
39,M61322," l up arm"""
39,M61329," unsp up arm"""
39,M6133, forearm
39,M61331," r forearm"""
39,M61332," l forearm"""
39,M61339," unsp forearm"""
39,M6134, hand
39,M61341," right hand"""
39,M61342," left hand"""
39,M61349," unsp hand"""
39,M6135, thigh
39,M61351," right thigh"""
39,M61352," left thigh"""
39,M61359," unsp thigh"""
39,M6136, lower leg
39,M61361," r low leg"""
39,M61362," l low leg"""
39,M61369," unsp low leg"""
39,M6137, ank/ft
39,M61371," right ank/ft"""
39,M61372," left ank/ft"""
39,M61379," unsp ank/ft"""
39,M6138, oth site
39,M6139, mult sites
39,M614,Other calcification of muscle
39,M6140, unspecified site
39,M6141, shoulder
39,M61411," right shoulder"""
39,M61412," left shoulder"""
39,M61419," unspecified shoulder"""
39,M6142, upper arm
39,M61421," right upper arm"""
39,M61422," left upper arm"""
39,M61429," unspecified upper arm"""
39,M6143, forearm
39,M61431," right forearm"""
39,M61432," left forearm"""
39,M61439," unspecified forearm"""
39,M6144, hand
39,M61441," right hand"""
39,M61442," left hand"""
39,M61449," unspecified hand"""
39,M6145, thigh
39,M61451," right thigh"""
39,M61452," left thigh"""
39,M61459," unspecified thigh"""
39,M6146, lower leg
39,M61461," right lower leg"""
39,M61462," left lower leg"""
39,M61469," unspecified lower leg"""
39,M6147, ankle and foot
39,M61471," right ankle and foot"""
39,M61472," left ankle and foot"""
39,M61479," unspecified ankle and foot"""
39,M6148, other site
39,M6149, multiple sites
39,M615,Other ossification of muscle
39,M6150, unspecified site
39,M6151, shoulder
39,M61511," right shoulder"""
39,M61512," left shoulder"""
39,M61519," unspecified shoulder"""
39,M6152, upper arm
39,M61521," right upper arm"""
39,M61522," left upper arm"""
39,M61529," unspecified upper arm"""
39,M6153, forearm
39,M61531," right forearm"""
39,M61532," left forearm"""
39,M61539," unspecified forearm"""
39,M6154, hand
39,M61541," right hand"""
39,M61542," left hand"""
39,M61549," unspecified hand"""
39,M6155, thigh
39,M61551," right thigh"""
39,M61552," left thigh"""
39,M61559," unspecified thigh"""
39,M6156, lower leg
39,M61561," right lower leg"""
39,M61562," left lower leg"""
39,M61569," unspecified lower leg"""
39,M6157, ankle and foot
39,M61571," right ankle and foot"""
39,M61572," left ankle and foot"""
39,M61579," unspecified ankle and foot"""
39,M6158, other site
39,M6159, multiple sites
39,M619,C unspecified
39,M62,Other disorders of muscle
39,M620,Separation of muscle (nontraumatic)
39,M6200, unspecified site
39,M6201, shoulder
39,M62011," right shoulder"""
39,M62012," left shoulder"""
39,M62019," unspecified shoulder"""
39,M6202, upper arm
39,M62021," right upper arm"""
39,M62022," left upper arm"""
39,M62029," unspecified upper arm"""
39,M6203, forearm
39,M62031," right forearm"""
39,M62032," left forearm"""
39,M62039," unspecified forearm"""
39,M6204, hand
39,M62041," right hand"""
39,M62042," left hand"""
39,M62049," unspecified hand"""
39,M6205, thigh
39,M62051," right thigh"""
39,M62052," left thigh"""
39,M62059," unspecified thigh"""
39,M6206, lower leg
39,M62061," right lower leg"""
39,M62062," left lower leg"""
39,M62069," unspecified lower leg"""
39,M6207, ankle and foot
39,M62071," right ankle and foot"""
39,M62072," left ankle and foot"""
39,M62079," unsp ankle and foot"""
39,M6208, other site
39,M621,Other rupture of muscle (nontraumatic)
39,M6210, unspecified site
39,M6211, shoulder
39,M62111," right shoulder"""
39,M62112," left shoulder"""
39,M62119," unspecified shoulder"""
39,M6212, upper arm
39,M62121," right upper arm"""
39,M62122," left upper arm"""
39,M62129," unsp upper arm"""
39,M6213, forearm
39,M62131," right forearm"""
39,M62132," left forearm"""
39,M62139," unspecified forearm"""
39,M6214, hand
39,M62141," right hand"""
39,M62142," left hand"""
39,M62149," unspecified hand"""
39,M6215, thigh
39,M62151," right thigh"""
39,M62152," left thigh"""
39,M62159," unspecified thigh"""
39,M6216, lower leg
39,M62161," right lower leg"""
39,M62162," left lower leg"""
39,M62169," unsp lower leg"""
39,M6217, ankle and foot
39,M62171," right ankle and foot"""
39,M62172," left ankle and foot"""
39,M62179," unsp ankle and foot"""
39,M6218, other site
39,M622,Nontraumatic ischemic infarction of muscle
39,M6220, unspecified site
39,M6221, shoulder
39,M62211," right shoulder"""
39,M62212," left shoulder"""
39,M62219," unsp shoulder"""
39,M6222, upper arm
39,M62221," right upper arm"""
39,M62222," left upper arm"""
39,M62229," unsp upper arm"""
39,M6223, forearm
39,M62231," right forearm"""
39,M62232," left forearm"""
39,M62239," unsp forearm"""
39,M6224, hand
39,M62241," right hand"""
39,M62242," left hand"""
39,M62249," unspecified hand"""
39,M6225, thigh
39,M62251," right thigh"""
39,M62252," left thigh"""
39,M62259," unsp thigh"""
39,M6226, lower leg
39,M62261," right lower leg"""
39,M62262," left lower leg"""
39,M62269," unsp lower leg"""
39,M6227, ankle and foot
39,M62271," right ank/ft"""
39,M62272," left ank/ft"""
39,M62279," unsp ank/ft"""
39,M6228, other site
39,M623,Immobility syndrome (paraplegic)
39,M624,Contracture of muscle
39,M6240, unspecified site
39,M6241, shoulder
39,M62411," right shoulder"""
39,M62412," left shoulder"""
39,M62419," unspecified shoulder"""
39,M6242, upper arm
39,M62421," right upper arm"""
39,M62422," left upper arm"""
39,M62429," unspecified upper arm"""
39,M6243, forearm
39,M62431," right forearm"""
39,M62432," left forearm"""
39,M62439," unspecified forearm"""
39,M6244, hand
39,M62441," right hand"""
39,M62442," left hand"""
39,M62449," unspecified hand"""
39,M6245, thigh
39,M62451," right thigh"""
39,M62452," left thigh"""
39,M62459," unspecified thigh"""
39,M6246, lower leg
39,M62461," right lower leg"""
39,M62462," left lower leg"""
39,M62469," unspecified lower leg"""
39,M6247, ankle and foot
39,M62471," right ankle and foot"""
39,M62472," left ankle and foot"""
39,M62479," unspecified ankle and foot"""
39,M6248, other site
39,M6249, multiple sites
39,M625,M not elsewhere classified
39,M6250, NEC       unsp site
39,M6251, NEC       shoulder
39,M62511," NEC       right shoulder"""
39,M62512," NEC       left shoulder"""
39,M62519," NEC       unsp shoulder"""
39,M6252, NEC       upper arm
39,M62521," NEC       right upper arm"""
39,M62522," NEC       left upper arm"""
39,M62529," NEC       unsp upper arm"""
39,M6253, NEC       forearm
39,M62531," NEC       right forearm"""
39,M62532," NEC       left forearm"""
39,M62539," NEC       unsp forearm"""
39,M6254, not elsew hand
39,M62541," NEC       right hand"""
39,M62542," NEC       left hand"""
39,M62549," NEC       unsp hand"""
39,M6255, not elsew thigh
39,M62551," NEC       right thigh"""
39,M62552," NEC       left thigh"""
39,M62559," NEC       unsp thigh"""
39,M6256, NEC       lower leg
39,M62561," NEC       right lower leg"""
39,M62562," NEC       left lower leg"""
39,M62569," NEC       unsp lower leg"""
39,M6257, NEC       ankle and foot
39,M62571," NEC       right ankle and foot"""
39,M62572," NEC       left ankle and foot"""
39,M62579," NEC       unsp ankle and foot"""
39,M6258, NEC       oth site
39,M6259, NEC       multiple sites
39,M628,Other specified disorders of muscle
39,M6281,Muscle weakness (generalized)
39,M6282,Rhabdomyolysis
39,M6283,Muscle spasm
39,M62830,Muscle spasm of back
39,M62831,Muscle spasm of calf
39,M62838,Other muscle spasm
39,M6284,Sarcopenia
39,M6289,Other specified disorders of muscle
39,M629,D unspecified
39,M63,Disorders of muscle in diseases classified elsewhere
39,M638,Disorders of muscle in diseases classified elsewhere
39,M6380, unsp site
39,M6381, shoulder
39,M63811," r shoulder"""
39,M63812," left shoulder"""
39,M63819," unsp shoulder"""
39,M6382, upper arm
39,M63821," r up arm"""
39,M63822," l up arm"""
39,M63829," unsp upper arm"""
39,M6383, forearm
39,M63831," right forearm"""
39,M63832," left forearm"""
39,M63839," unsp forearm"""
39,M6384, hand
39,M63841," right hand"""
39,M63842," left hand"""
39,M63849," unsp hand"""
39,M6385, thigh
39,M63851," right thigh"""
39,M63852," left thigh"""
39,M63859," unsp thigh"""
39,M6386, lower leg
39,M63861," r low leg"""
39,M63862," l low leg"""
39,M63869," unsp lower leg"""
39,M6387, ank/ft
39,M63871," right ank/ft"""
39,M63872," left ank/ft"""
39,M63879," unsp ank/ft"""
39,M6388, oth site
39,M6389, multiple sites
39,M65,Synovitis and tenosynovitis
39,M650,Abscess of tendon sheath
39,M6500, unspecified site
39,M6501, shoulder
39,M65011," right shoulder"""
39,M65012," left shoulder"""
39,M65019," unspecified shoulder"""
39,M6502, upper arm
39,M65021," right upper arm"""
39,M65022," left upper arm"""
39,M65029," unspecified upper arm"""
39,M6503, forearm
39,M65031," right forearm"""
39,M65032," left forearm"""
39,M65039," unspecified forearm"""
39,M6504, hand
39,M65041," right hand"""
39,M65042," left hand"""
39,M65049," unspecified hand"""
39,M6505, thigh
39,M65051," right thigh"""
39,M65052," left thigh"""
39,M65059," unspecified thigh"""
39,M6506, lower leg
39,M65061," right lower leg"""
39,M65062," left lower leg"""
39,M65069," unspecified lower leg"""
39,M6507, ankle and foot
39,M65071," right ankle and foot"""
39,M65072," left ankle and foot"""
39,M65079," unspecified ankle and foot"""
39,M6508, other site
39,M651,Other infective (teno)synovitis
39,M6510, unspecified site
39,M6511, shoulder
39,M65111," right shoulder"""
39,M65112," left shoulder"""
39,M65119," unspecified shoulder"""
39,M6512, elbow
39,M65121," right elbow"""
39,M65122," left elbow"""
39,M65129," unspecified elbow"""
39,M6513, wrist
39,M65131," right wrist"""
39,M65132," left wrist"""
39,M65139," unspecified wrist"""
39,M6514, hand
39,M65141," right hand"""
39,M65142," left hand"""
39,M65149," unspecified hand"""
39,M6515, hip
39,M65151," right hip"""
39,M65152," left hip"""
39,M65159," unspecified hip"""
39,M6516, knee
39,M65161," right knee"""
39,M65162," left knee"""
39,M65169," unspecified knee"""
39,M6517, ankle and foot
39,M65171," right ankle and foot"""
39,M65172," left ankle and foot"""
39,M65179," unspecified ankle and foot"""
39,M6518, other site
39,M6519, multiple sites
39,M652,Calcific tendinitis
39,M6520, unspecified site
39,M6522, upper arm
39,M65221," right upper arm"""
39,M65222," left upper arm"""
39,M65229," unspecified upper arm"""
39,M6523, forearm
39,M65231," right forearm"""
39,M65232," left forearm"""
39,M65239," unspecified forearm"""
39,M6524, hand
39,M65241," right hand"""
39,M65242," left hand"""
39,M65249," unspecified hand"""
39,M6525, thigh
39,M65251," right thigh"""
39,M65252," left thigh"""
39,M65259," unspecified thigh"""
39,M6526, lower leg
39,M65261," right lower leg"""
39,M65262," left lower leg"""
39,M65269," unspecified lower leg"""
39,M6527, ankle and foot
39,M65271," right ankle and foot"""
39,M65272," left ankle and foot"""
39,M65279," unspecified ankle and foot"""
39,M6528, other site
39,M6529, multiple sites
39,M653,Trigger finger
39,M6530, unspecified finger
39,M6531,Trigger thumb
39,M65311," right thumb"""
39,M65312," left thumb"""
39,M65319," unspecified thumb"""
39,M6532, index finger
39,M65321," right index finger"""
39,M65322," left index finger"""
39,M65329," unspecified index finger"""
39,M6533, middle finger
39,M65331," right middle finger"""
39,M65332," left middle finger"""
39,M65339," unspecified middle finger"""
39,M6534, ring finger
39,M65341," right ring finger"""
39,M65342," left ring finger"""
39,M65349," unspecified ring finger"""
39,M6535, little finger
39,M65351," right little finger"""
39,M65352," left little finger"""
39,M65359," unspecified little finger"""
39,M654,Radial styloid tenosynovitis [de Quervain]
39,M658,Other synovitis and tenosynovitis
39,M6580, unspecified site
39,M6581, shoulder
39,M65811," right shoulder"""
39,M65812," left shoulder"""
39,M65819," unspecified shoulder"""
39,M6582, upper arm
39,M65821," right upper arm"""
39,M65822," left upper arm"""
39,M65829," unspecified upper arm"""
39,M6583, forearm
39,M65831," right forearm"""
39,M65832," left forearm"""
39,M65839," unspecified forearm"""
39,M6584, hand
39,M65841," right hand"""
39,M65842," left hand"""
39,M65849," unspecified hand"""
39,M6585, thigh
39,M65851," right thigh"""
39,M65852," left thigh"""
39,M65859," unspecified thigh"""
39,M6586, lower leg
39,M65861," right lower leg"""
39,M65862," left lower leg"""
39,M65869," unspecified lower leg"""
39,M6587, ankle and foot
39,M65871," right ankle and foot"""
39,M65872," left ankle and foot"""
39,M65879," unsp ankle and foot"""
39,M6588, other site
39,M6589, multiple sites
39,M659,S unspecified
39,M66,Spontaneous rupture of synovium and tendon
39,M660,Rupture of popliteal cyst
39,M661,Rupture of synovium
39,M6610, unspecified joint
39,M6611, shoulder
39,M66111," right shoulder"""
39,M66112," left shoulder"""
39,M66119," unspecified shoulder"""
39,M6612, elbow
39,M66121," right elbow"""
39,M66122," left elbow"""
39,M66129," unspecified elbow"""
39,M6613, wrist
39,M66131," right wrist"""
39,M66132," left wrist"""
39,M66139," unspecified wrist"""
39,M6614, hand and fingers
39,M66141," right hand"""
39,M66142," left hand"""
39,M66143," unspecified hand"""
39,M66144," right finger(s)"""
39,M66145," left finger(s)"""
39,M66146," unspecified finger(s)"""
39,M6615, hip
39,M66151," right hip"""
39,M66152," left hip"""
39,M66159," unspecified hip"""
39,M6617, ankle     foot and toes
39,M66171," right ankle"""
39,M66172," left ankle"""
39,M66173," unspecified ankle"""
39,M66174," right foot"""
39,M66175," left foot"""
39,M66176," unspecified foot"""
39,M66177," right toe(s)"""
39,M66178," left toe(s)"""
39,M66179," unspecified toe(s)"""
39,M6618, other site
39,M662,Spontaneous rupture of extensor tendons
39,M6620, unspecified site
39,M6621, shoulder
39,M66211," right shoulder"""
39,M66212," left shoulder"""
39,M66219," unsp shoulder"""
39,M6622, upper arm
39,M66221," right upper arm"""
39,M66222," left upper arm"""
39,M66229," unsp upper arm"""
39,M6623, forearm
39,M66231," right forearm"""
39,M66232," left forearm"""
39,M66239," unspecified forearm"""
39,M6624, hand
39,M66241," right hand"""
39,M66242," left hand"""
39,M66249," unspecified hand"""
39,M6625, thigh
39,M66251," right thigh"""
39,M66252," left thigh"""
39,M66259," unspecified thigh"""
39,M6626, lower leg
39,M66261," right lower leg"""
39,M66262," left lower leg"""
39,M66269," unsp lower leg"""
39,M6627, ankle and foot
39,M66271," right ank/ft"""
39,M66272," left ankle and foot"""
39,M66279," unsp ankle and foot"""
39,M6628, other site
39,M6629, multiple sites
39,M663,Spontaneous rupture of flexor tendons
39,M6630, unspecified site
39,M6631, shoulder
39,M66311," right shoulder"""
39,M66312," left shoulder"""
39,M66319," unspecified shoulder"""
39,M6632, upper arm
39,M66321," right upper arm"""
39,M66322," left upper arm"""
39,M66329," unspecified upper arm"""
39,M6633, forearm
39,M66331," right forearm"""
39,M66332," left forearm"""
39,M66339," unspecified forearm"""
39,M6634, hand
39,M66341," right hand"""
39,M66342," left hand"""
39,M66349," unspecified hand"""
39,M6635, thigh
39,M66351," right thigh"""
39,M66352," left thigh"""
39,M66359," unspecified thigh"""
39,M6636, lower leg
39,M66361," right lower leg"""
39,M66362," left lower leg"""
39,M66369," unspecified lower leg"""
39,M6637, ankle and foot
39,M66371," right ankle and foot"""
39,M66372," left ankle and foot"""
39,M66379," unsp ankle and foot"""
39,M6638, other site
39,M6639, multiple sites
39,M668,Spontaneous rupture of other tendons
39,M6680, unspecified site
39,M6681, shoulder
39,M66811," right shoulder"""
39,M66812," left shoulder"""
39,M66819," unspecified shoulder"""
39,M6682, upper arm
39,M66821," right upper arm"""
39,M66822," left upper arm"""
39,M66829," unspecified upper arm"""
39,M6683, forearm
39,M66831," right forearm"""
39,M66832," left forearm"""
39,M66839," unspecified forearm"""
39,M6684, hand
39,M66841," right hand"""
39,M66842," left hand"""
39,M66849," unspecified hand"""
39,M6685, thigh
39,M66851," right thigh"""
39,M66852," left thigh"""
39,M66859," unspecified thigh"""
39,M6686, lower leg
39,M66861," right lower leg"""
39,M66862," left lower leg"""
39,M66869," unspecified lower leg"""
39,M6687, ankle and foot
39,M66871," right ankle and foot"""
39,M66872," left ankle and foot"""
39,M66879," unsp ankle and foot"""
39,M6688, other sites
39,M6689, multiple sites
39,M669,Spontaneous rupture of unspecified tendon
39,M67,Other disorders of synovium and tendon
39,M670,Short Achilles tendon (acquired)
39,M6700, unspecified ankle
39,M6701, right ankle
39,M6702, left ankle
39,M672,S not elsewhere classified
39,M6720, not elsew unsp site
39,M6721, not elsew shoulder
39,M67211," NEC       right shoulder"""
39,M67212," NEC       left shoulder"""
39,M67219," NEC       unsp shoulder"""
39,M6722, not elsew upper arm
39,M67221," NEC       right upper arm"""
39,M67222," NEC       left upper arm"""
39,M67229," NEC       unsp upper arm"""
39,M6723, not elsew forearm
39,M67231," NEC       right forearm"""
39,M67232," not elsew left forearm"""
39,M67239," not elsew unsp forearm"""
39,M6724, not elsew hand
39,M67241," not elsew right hand"""
39,M67242," not elsew left hand"""
39,M67249," not elsew unsp hand"""
39,M6725, not elsew thigh
39,M67251," not elsew right thigh"""
39,M67252," not elsew left thigh"""
39,M67259," not elsew unsp thigh"""
39,M6726, not elsew lower leg
39,M67261," NEC       right lower leg"""
39,M67262," NEC       left lower leg"""
39,M67269," NEC       unsp lower leg"""
39,M6727, NEC       ankle and foot
39,M67271," NEC       right ankle and foot"""
39,M67272," NEC       left ankle and foot"""
39,M67279," NEC       unsp ankle and foot"""
39,M6728, not elsew other site
39,M6729, NEC       multiple sites
39,M673,Transient synovitis
39,M6730, unspecified site
39,M6731, shoulder
39,M67311," right shoulder"""
39,M67312," left shoulder"""
39,M67319," unspecified shoulder"""
39,M6732, elbow
39,M67321," right elbow"""
39,M67322," left elbow"""
39,M67329," unspecified elbow"""
39,M6733, wrist
39,M67331," right wrist"""
39,M67332," left wrist"""
39,M67339," unspecified wrist"""
39,M6734, hand
39,M67341," right hand"""
39,M67342," left hand"""
39,M67349," unspecified hand"""
39,M6735, hip
39,M67351," right hip"""
39,M67352," left hip"""
39,M67359," unspecified hip"""
39,M6736, knee
39,M67361," right knee"""
39,M67362," left knee"""
39,M67369," unspecified knee"""
39,M6737, ankle and foot
39,M67371," right ankle and foot"""
39,M67372," left ankle and foot"""
39,M67379," unspecified ankle and foot"""
39,M6738, other site
39,M6739, multiple sites
39,M674,Ganglion
39,M6740, unspecified site
39,M6741, shoulder
39,M67411," right shoulder"""
39,M67412," left shoulder"""
39,M67419," unspecified shoulder"""
39,M6742, elbow
39,M67421," right elbow"""
39,M67422," left elbow"""
39,M67429," unspecified elbow"""
39,M6743, wrist
39,M67431," right wrist"""
39,M67432," left wrist"""
39,M67439," unspecified wrist"""
39,M6744, hand
39,M67441," right hand"""
39,M67442," left hand"""
39,M67449," unspecified hand"""
39,M6745, hip
39,M67451," right hip"""
39,M67452," left hip"""
39,M67459," unspecified hip"""
39,M6746, knee
39,M67461," right knee"""
39,M67462," left knee"""
39,M67469," unspecified knee"""
39,M6747, ankle and foot
39,M67471," right ankle and foot"""
39,M67472," left ankle and foot"""
39,M67479," unspecified ankle and foot"""
39,M6748, other site
39,M6749, multiple sites
39,M675,Plica syndrome
39,M6750, unspecified knee
39,M6751, right knee
39,M6752, left knee
39,M678,Other specified disorders of synovium and tendon
39,M6780, unspecified site
39,M6781, shoulder
39,M67811," right shoulder"""
39,M67812," left shoulder"""
39,M67813," right shoulder"""
39,M67814," left shoulder"""
39,M67819," unspecified shoulder"""
39,M6782, elbow
39,M67821," right elbow"""
39,M67822," left elbow"""
39,M67823," right elbow"""
39,M67824," left elbow"""
39,M67829," unspecified elbow"""
39,M6783, wrist
39,M67831," right wrist"""
39,M67832," left wrist"""
39,M67833," right wrist"""
39,M67834," left wrist"""
39,M67839," unspecified wrist"""
39,M6784, hand
39,M67841," right hand"""
39,M67842," left hand"""
39,M67843," right hand"""
39,M67844," left hand"""
39,M67849," unspecified hand"""
39,M6785, hip
39,M67851," right hip"""
39,M67852," left hip"""
39,M67853," right hip"""
39,M67854," left hip"""
39,M67859," unspecified hip"""
39,M6786, knee
39,M67861," right knee"""
39,M67862," left knee"""
39,M67863," right knee"""
39,M67864," left knee"""
39,M67869," unspecified knee"""
39,M6787, ankle and foot
39,M67871," right ankle and foot"""
39,M67872," left ankle and foot"""
39,M67873," right ankle and foot"""
39,M67874," left ankle and foot"""
39,M67879," unspecified ankle and foot"""
39,M6788, other site
39,M6789, multiple sites
39,M679,Unspecified disorder of synovium and tendon
39,M6790, unspecified site
39,M6791, shoulder
39,M67911," right shoulder"""
39,M67912," left shoulder"""
39,M67919," unspecified shoulder"""
39,M6792, upper arm
39,M67921," right upper arm"""
39,M67922," left upper arm"""
39,M67929," unspecified upper arm"""
39,M6793, forearm
39,M67931," right forearm"""
39,M67932," left forearm"""
39,M67939," unspecified forearm"""
39,M6794, hand
39,M67941," right hand"""
39,M67942," left hand"""
39,M67949," unspecified hand"""
39,M6795, thigh
39,M67951," right thigh"""
39,M67952," left thigh"""
39,M67959," unspecified thigh"""
39,M6796, lower leg
39,M67961," right lower leg"""
39,M67962," left lower leg"""
39,M67969," unspecified lower leg"""
39,M6797, ankle and foot
39,M67971," right ankle and foot"""
39,M67972," left ankle and foot"""
39,M67979," unsp ankle and foot"""
39,M6798, other site
39,M6799, multiple sites
39,M70,So overuse and pressure
39,M700,Crepitant synovitis (acute) (chronic) of hand and wrist
39,M7003, wrist
39,M70031," right wrist"""
39,M70032," left wrist"""
39,M70039," unspecified wrist"""
39,M7004, hand
39,M70041," right hand"""
39,M70042," left hand"""
39,M70049," unspecified hand"""
39,M701,Bursitis of hand
39,M7010, unspecified hand
39,M7011, right hand
39,M7012, left hand
39,M702,Olecranon bursitis
39,M7020, unspecified elbow
39,M7021, right elbow
39,M7022, left elbow
39,M703,Other bursitis of elbow
39,M7030, unspecified elbow
39,M7031, right elbow
39,M7032, left elbow
39,M704,Prepatellar bursitis
39,M7040, unspecified knee
39,M7041, right knee
39,M7042, left knee
39,M705,Other bursitis of knee
39,M7050, unspecified knee
39,M7051, right knee
39,M7052, left knee
39,M706,Trochanteric bursitis
39,M7060, unspecified hip
39,M7061, right hip
39,M7062, left hip
39,M707,Other bursitis of hip
39,M7070, unspecified hip
39,M7071, right hip
39,M7072, left hip
39,M708,Oth soft tissue disorders related to use/pressure
39,M7080,Oth soft tissue disord related to use/pressure of unsp site
39,M7081,Oth soft tissue disord related to use/pressure of shoulder
39,M70811," r shoulder"""
39,M70812," l shoulder"""
39,M70819," unsp shldr"""
39,M7082,Oth soft tissue disord related to use/pressure of upper arm
39,M70821," r up arm"""
39,M70822," l up arm"""
39,M70829," unsp upper arms"""
39,M7083,Oth soft tissue disorders related to use/pressure of forearm
39,M70831," r forearm"""
39,M70832," l forearm"""
39,M70839," unsp forearm"""
39,M7084,Oth soft tissue disorders related to use/pressure of hand
39,M70841," r hand"""
39,M70842," left hand"""
39,M70849," unsp hand"""
39,M7085,Oth soft tissue disorders related to use/pressure of thigh
39,M70851," right thigh"""
39,M70852," left thigh"""
39,M70859," unsp thigh"""
39,M7086,Oth soft tissue disorders related to use/pressure lower leg
39,M70861," r low leg"""
39,M70862," l low leg"""
39,M70869," unsp leg"""
39,M7087,Oth soft tissue disorders related to use/pressure of ank/ft
39,M70871," right ank/ft"""
39,M70872," left ank/ft"""
39,M70879," unsp ank/ft"""
39,M7088,Oth soft tissue disorders related to use/pressure oth site
39,M7089,Oth soft tissue disord related to use/pressure mult sites
39,M709,Unsp soft tissue disorder related to use/pressure
39,M7090,Unsp soft tissue disord related to use/pressure of unsp site
39,M7091,Unsp soft tissue disord related to use/pressure of shoulder
39,M70911," r shoulder"""
39,M70912," l shoulder"""
39,M70919," unsp shldr"""
39,M7092,Unsp soft tissue disorder related to use/pressure of up arm
39,M70921," r up arm"""
39,M70922," l up arm"""
39,M70929," unsp up arm"""
39,M7093,Unsp soft tissue disorder related to use/pressure of forearm
39,M70931," r forearm"""
39,M70932," l forearm"""
39,M70939," unsp forearm"""
39,M7094,Unsp soft tissue disorder related to use/pressure of hand
39,M70941," r hand"""
39,M70942," left hand"""
39,M70949," unsp hand"""
39,M7095,Unsp soft tissue disorder related to use/pressure of thigh
39,M70951," right thigh"""
39,M70952," left thigh"""
39,M70959," unsp thigh"""
39,M7096,Unsp soft tissue disorder related to use/pressure lower leg
39,M70961," r low leg"""
39,M70962," l low leg"""
39,M70969," unsp low leg"""
39,M7097,Unsp soft tissue disorder related to use/pressure of ank/ft
39,M70971," right ank/ft"""
39,M70972," left ank/ft"""
39,M70979," unsp ank/ft"""
39,M7098,Unsp soft tissue disorder related to use/pressure oth
39,M7099,Unsp soft tissue disord related to use/pressure mult sites
39,M71,Other bursopathies
39,M710,Abscess of bursa
39,M7100, unspecified site
39,M7101, shoulder
39,M71011," right shoulder"""
39,M71012," left shoulder"""
39,M71019," unspecified shoulder"""
39,M7102, elbow
39,M71021," right elbow"""
39,M71022," left elbow"""
39,M71029," unspecified elbow"""
39,M7103, wrist
39,M71031," right wrist"""
39,M71032," left wrist"""
39,M71039," unspecified wrist"""
39,M7104, hand
39,M71041," right hand"""
39,M71042," left hand"""
39,M71049," unspecified hand"""
39,M7105, hip
39,M71051," right hip"""
39,M71052," left hip"""
39,M71059," unspecified hip"""
39,M7106, knee
39,M71061," right knee"""
39,M71062," left knee"""
39,M71069," unspecified knee"""
39,M7107, ankle and foot
39,M71071," right ankle and foot"""
39,M71072," left ankle and foot"""
39,M71079," unspecified ankle and foot"""
39,M7108, other site
39,M7109, multiple sites
39,M711,Other infective bursitis
39,M7110, unspecified site
39,M7111, shoulder
39,M71111," right shoulder"""
39,M71112," left shoulder"""
39,M71119," unspecified shoulder"""
39,M7112, elbow
39,M71121," right elbow"""
39,M71122," left elbow"""
39,M71129," unspecified elbow"""
39,M7113, wrist
39,M71131," right wrist"""
39,M71132," left wrist"""
39,M71139," unspecified wrist"""
39,M7114, hand
39,M71141," right hand"""
39,M71142," left hand"""
39,M71149," unspecified hand"""
39,M7115, hip
39,M71151," right hip"""
39,M71152," left hip"""
39,M71159," unspecified hip"""
39,M7116, knee
39,M71161," right knee"""
39,M71162," left knee"""
39,M71169," unspecified knee"""
39,M7117, ankle and foot
39,M71171," right ankle and foot"""
39,M71172," left ankle and foot"""
39,M71179," unspecified ankle and foot"""
39,M7118, other site
39,M7119, multiple sites
39,M712,Synovial cyst of popliteal space [Baker]
39,M7120, unspecified knee
39,M7121, right knee
39,M7122, left knee
39,M713,Other bursal cyst
39,M7130, unspecified site
39,M7131, shoulder
39,M71311," right shoulder"""
39,M71312," left shoulder"""
39,M71319," unspecified shoulder"""
39,M7132, elbow
39,M71321," right elbow"""
39,M71322," left elbow"""
39,M71329," unspecified elbow"""
39,M7133, wrist
39,M71331," right wrist"""
39,M71332," left wrist"""
39,M71339," unspecified wrist"""
39,M7134, hand
39,M71341," right hand"""
39,M71342," left hand"""
39,M71349," unspecified hand"""
39,M7135, hip
39,M71351," right hip"""
39,M71352," left hip"""
39,M71359," unspecified hip"""
39,M7137, ankle and foot
39,M71371," right ankle and foot"""
39,M71372," left ankle and foot"""
39,M71379," unspecified ankle and foot"""
39,M7138, other site
39,M7139, multiple sites
39,M714,Calcium deposit in bursa
39,M7140, unspecified site
39,M7142, elbow
39,M71421," right elbow"""
39,M71422," left elbow"""
39,M71429," unspecified elbow"""
39,M7143, wrist
39,M71431," right wrist"""
39,M71432," left wrist"""
39,M71439," unspecified wrist"""
39,M7144, hand
39,M71441," right hand"""
39,M71442," left hand"""
39,M71449," unspecified hand"""
39,M7145, hip
39,M71451," right hip"""
39,M71452," left hip"""
39,M71459," unspecified hip"""
39,M7146, knee
39,M71461," right knee"""
39,M71462," left knee"""
39,M71469," unspecified knee"""
39,M7147, ankle and foot
39,M71471," right ankle and foot"""
39,M71472," left ankle and foot"""
39,M71479," unspecified ankle and foot"""
39,M7148, other site
39,M7149, multiple sites
39,M715,O not elsewhere classified
39,M7150, not elsew unspecified site
39,M7152, not elsew elbow
39,M71521," not elsew right elbow"""
39,M71522," not elsew left elbow"""
39,M71529," not elsew unspecified elbow"""
39,M7153, not elsew wrist
